%Node_3_Disp_2,Node_2_Disp_2
6.885968945,8.394275633
6.255641067,7.635871634
9.347548223,11.36741443
7.40488617,9.216562666
5.373104941,6.58553575
5.524777164,6.716149444
6.9018689,8.395784052
7.775660457,9.520860758
6.619511067,8.032216339
7.238398638,8.89931968
6.327661284,7.756757608
6.434855854,7.766190159
7.647494016,9.32464298
8.945596765,10.7511628
6.662801403,8.243055308
7.480495832,9.125619379
7.267644263,8.857808169
7.865519901,9.641182302
6.605386126,8.101408477
9.917464965,12.0913881
6.869770612,8.378464348
7.551026862,9.232092412
7.566931163,9.127360889
8.330845592,10.11848804
5.9691093,7.380734834
6.690130889,8.145726486
7.165269276,8.708638137
5.731981647,7.024705062
6.697555544,8.074305564
8.672181442,10.63978284
7.070045423,8.671528891
7.413066656,9.043621666
8.385086437,10.27543412
7.382431224,9.087305033
7.841867511,9.665941476
6.069861555,7.437644532
6.874478204,8.313743499
7.949230082,9.576421826
8.357308185,10.32468757
5.67982334,6.961451214
8.897660513,10.89950378
9.324317484,11.43280377
8.78977898,10.74104384
7.207251336,8.805244095
8.262670963,10.14540552
6.674667491,8.258483146
7.042171869,8.557108159
7.079542306,8.672005101
9.035618738,10.99953129
7.586610719,9.446703311
