eval_id	interface	k1	k2	lambda.CovMultiplier	phi.CovMultiplier	lambda	phi	
1	1	1503.4251629456662	990.6060144552146	3.4359787893468927	0.5225957538012769	1564.290286521066	1.6965060037018431	
2	1	1726.7098891401056	789.0442250093049	1.3000879651957622	1.2231222050420114	1608.6397807958474	2.128216974456213	
3	1	1575.8285888569499	819.0676934573257	0.7058121160449854	0.7002149816927508	1534.639407118795	1.9496099291676179	
4	1	1498.1504757409855	1093.2708059402587	1.2415162517787828	0.8316418881426463	1595.4280170019413	1.611451089268987	
5	1	1335.4559234527771	437.9168426713775	0.39389449332767257	0.26323662669574616	1076.3960139519106	2.7714144646686623	
6	1	1633.712194441106	450.25858864811454	0.936331199585101	0.9013250338878873	1198.0347849128789	3.2448507314991457	
7	1	1354.1539168750965	398.94528681301136	0.4174115019370803	0.8929871075644294	1031.5131936598457	3.04988723715314	
8	1	1963.6939556995903	1021.9678333522581	2.3448751166014232	0.9002615834530262	1913.037121704851	1.9480512311723805	
9	1	2060.1736077304067	980.2006307359306	0.7732746527292128	2.3287204492805267	1947.6575795634926	2.068549023622614	
10	1	1281.487690340135	1050.643616369003	0.658260551606472	1.0095935590421474	1396.8759754808054	1.5283484026346696	
